"1. Statement of Consent

I understand that my participation is voluntary and that my responses will be kept confidential. I agree to participate in this research study.",Role,Experience,Project_Sector,Payment_Delay,Cost_Estimation_Error,Material_Cost_Escalation,Design_Ambiguity,Poor_Workmanship,Site_Conditions,Leadership_Issues,Trust_Deficit,Unrealistic_Expectations,Contract_Ambiguity,Contract_Rigidity,Trigger_Event,Conflict_Progression,Hidden_Factors,Conflict_Severity,Additional_Comments
"Yes, I agree to participate.",Contractor / Subcontractor,21+ years,Residential,,,,,,,,,,,,,5,4,2,Interesting study for improving collaboration in construction.
"Yes, I agree to participate.",Client / Owner Representative,6-10 years,Industrial,,,,,,,,,,,,,2,4,5,
"Yes, I agree to participate.",Consultant / Project Management,21+ years,Industrial,,,,,,,,,,,,A delay notice from contractor led to a heated discussion with the consultant.,5,5,4,
"Yes, I agree to participate.",Contractor / Subcontractor,21+ years,Commercial,,,,,,,,,,,,Dispute started when revised drawings were issued late affecting the schedule.,3,3,2,Better contract clarity and digital monitoring can reduce disputes.
"Yes, I agree to participate.",Client / Owner Representative,6-10 years,Infrastructure,,,,,,,,,,,,A delay notice from contractor led to a heated discussion with the consultant.,4,2,3,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Contractor / Subcontractor,0-5 years,Residential,,,,,,,,,,,,A subcontractor raised a complaint about unpaid invoices.,5,3,5,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,6-10 years,Residential,,,,,,,,,,,,,3,5,2,This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Contractor / Subcontractor,0-5 years,Commercial,,,,,,,,,,,,,3,2,4,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,21+ years,Infrastructure,,,,,,,,,,,,Variation order was rejected during billing certification which created disagreement.,3,3,2,This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Residential,,,,,,,,,,,,A subcontractor raised a complaint about unpaid invoices.,3,3,4,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,0-5 years,Infrastructure,,,,,,,,,,,,A subcontractor raised a complaint about unpaid invoices.,2,5,3,Better contract clarity and digital monitoring can reduce disputes.
"Yes, I agree to participate.",Consultant / Project Management,6-10 years,Residential,,,,,,,,,,,,,2,5,2,
"Yes, I agree to participate.",Consultant / Project Management,11-15 years,Infrastructure,,,,,,,,,,,,Client reduced payment amount citing quality issues during a review meeting.,2,3,2,This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,11-15 years,Industrial,,,,,,,,,,,,A claim for additional cost due to material escalation was not accepted.,4,3,2,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Client / Owner Representative,6-10 years,Residential,,,,,,,,,,,,Client reduced payment amount citing quality issues during a review meeting.,2,2,3,AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Industrial,,,,,,,,,,,,,4,4,3,AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Client / Owner Representative,0-5 years,Industrial,,,,,,,,,,,,A claim for additional cost due to material escalation was not accepted.,2,4,4,This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,16-20 years,Residential,,,,,,,,,,,,Client reduced payment amount citing quality issues during a review meeting.,3,4,2,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Contractor / Subcontractor,0-5 years,Residential,,,,,,,,,,,,Client reduced payment amount citing quality issues during a review meeting.,4,3,4,Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,16-20 years,Residential,,,,,,,,,,,,Client reduced payment amount citing quality issues during a review meeting.,4,3,5,Interesting study for improving collaboration in construction.
"Yes, I agree to participate.",Contractor / Subcontractor,16-20 years,Commercial,,,,,,,,,,,,A subcontractor raised a complaint about unpaid invoices.,4,4,2,This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Contractor / Subcontractor,11-15 years,Residential,,,,,,,,,,,,Variation order was rejected during billing certification which created disagreement.,5,2,3,
"Yes, I agree to participate.",Client / Owner Representative,16-20 years,Industrial,,,,,,,,,,,,Client reduced payment amount citing quality issues during a review meeting.,4,2,3,This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,21+ years,Industrial,,,,,,,,,,,,Dispute started when revised drawings were issued late affecting the schedule.,4,3,2,
"Yes, I agree to participate.",Client / Owner Representative,16-20 years,Industrial,,,,,,,,,,,,A subcontractor raised a complaint about unpaid invoices.,5,5,4,AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Industrial,,,,,,,,,,,,Variation order was rejected during billing certification which created disagreement.,4,2,3,
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Industrial,,,,,,,,,,,,Variation order was rejected during billing certification which created disagreement.,3,2,5,
"Yes, I agree to participate.",Consultant / Project Management,16-20 years,Residential,,,,,,,,,,,,,2,5,4,AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Consultant / Project Management,6-10 years,Residential,,,,,,,,,,,,Responsibility for delay was argued during a weekly progress meeting.,2,5,5,
"Yes, I agree to participate.",Consultant / Project Management,11-15 years,Industrial,,,,,,,,,,,,,3,3,4,AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Consultant / Project Management,6-10 years,Commercial,,,,,,,,,,,,Site team disagreed on scope interpretation mentioned in the BOQ.,5,5,3,Better contract clarity and digital monitoring can reduce disputes.
